"","unit","airpol","sect","geo","time","emission","year"
"86","T","SOX","SE1_EUI","FR",2011-02-11,102756,2011
"87","T","SOX","SE1_RD","FR",2011-02-11,842,2011
"88","T","SOX","SE2_IP","FR",2011-02-11,8790,2011
"89","T","SOX","SE1_EPD","FR",2012-02-11,105847,2012
"90","T","SOX","SE1_EUI","FR",2012-02-11,88573,2012
"91","T","SOX","SE1_RD","FR",2012-02-11,832,2012
"92","T","SOX","SE2_IP","FR",2012-02-11,8450,2012
"93","T","SOX","SE1_EPD","FR",2013-02-11,95233,2013
"94","T","SOX","SE1_EUI","FR",2013-02-11,82688,2013
"95","T","SOX","SE1_RD","FR",2013-02-11,826,2013
"96","T","SOX","SE2_IP","FR",2013-02-11,8275,2013
