unit,airpol,airemsect,geo\time	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 
MIO_T,GHG,CRF_1,IE	35.73769 	36.95003 	36.8796 	40.35913 	40.73128 	45.21074 	45.11566 	45.15207 	45.64899 	43.82637 	44.03448 	43.40257 	44.62625 	42.52509 	40.2269 	38.81175 	36.60437 	35.49812 	33.89207 	32.98475 	32.02026 	31.84967 	31.96311 	31.11776 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1,IS	1.63657 	1.67535 	1.72576 	1.81343 	1.96225 	2.02812 	2.1384 	2.0436 	2.01071 	2.02829 	2.0075 	2.0078 	1.93688 	1.99065 	2.03851 	1.97818 	2.00483 	1.99571 	1.90527 	1.86925 	1.91292 	1.83696 	1.70719 	1.73646 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1,IT	357.38684 	384.87529 	407.59772 	419.57453 	409.60982 	453.71607 	461.59175 	470.49948 	475.483 	478.02353 	475.80817 	460.77009 	458.39539 	453.53552 	450.81046 	445.46958 	434.25764 	430.30174 	434.68936 	410.31591 	417.16115 	420.68047 	421.60147 	421.28849 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1,LT	11.38875 	11.96748 	11.9632 	12.80931 	11.92026 	13.13731 	13.27024 	13.04245 	12.8877 	12.19103 	11.57158 	11.56735 	11.48917 	10.85537 	12.41224 	14.77145 	14.06505 	14.52282 	14.04102 	15.00224 	15.95043 	19.82457 	35.10443 	33.02287 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1,LU	9.80468 	10.39723 	10.671 	10.84378 	10.2868 	10.75494 	10.91198 	11.51039 	11.72479 	11.47042 	10.07379 	9.5238 	8.724 	8.13214 	7.46807 	7.16031 	7.88507 	8.44846 	8.32602 	10.30812 	11.02862 	10.89076 	11.02957 	10.4107 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1,LV	7.18509 	7.29072 	7.58942 	8.45279 	7.6996 	8.40516 	8.85218 	8.53288 	8.11114 	8.00595 	7.97321 	7.82023 	7.81748 	7.38368 	8.00191 	8.63788 	9.05072 	9.61455 	9.54694 	10.79779 	12.35503 	14.46167 	17.74453 	19.25846 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1,MT	2.42903 	2.81156 	2.67534 	2.63512 	2.63407 	2.71313 	2.74849 	2.67279 	2.70408 	2.63757 	2.68192 	2.50724 	2.4918 	2.37139 	2.36469 	2.27684 	2.26695 	2.27542 	2.22644 	2.26787 	2.19878 	2.1601 	2.05462 	1.87833 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1,NL	162.29681 	162.66151 	165.38597 	178.95541 	167.74868 	172.30258 	168.07795 	168.08151 	171.33991 	176.21464 	174.91473 	171.64754 	171.43556 	165.11332 	162.86384 	168.70951 	166.88509 	174.23585 	166.40644 	162.41101 	163.12154 	158.33536 	159.664 	154.60258 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1,PL	323.47071 	327.73472 	332.75532 	338.56243 	318.42123 	329.83373 	336.30338 	339.72269 	328.5234 	328.76516 	325.44438 	314.25863 	322.62491 	322.70224 	336.22523 	344.97627 	376.4044 	387.35619 	372.44551 	371.70339 	378.28832 	376.32965 	386.34492 	386.53668 	461.23172 	483.46681 	: 	: 	: 
MIO_T,GHG,CRF_1,PT	44.47376 	46.42627 	48.07574 	48.93623 	53.98786 	55.04097 	56.67789 	59.76501 	64.39611 	61.80824 	59.82567 	64.87535 	61.19387 	60.77016 	62.32561 	54.87251 	50.3813 	47.75261 	50.40878 	46.87067 	46.21282 	47.46792 	42.92662 	41.38839 	: 	: 	: 	: 	: 
